model_id,language,avg_tof,std_tof,base_accuracy,incorrect_proportion,completed_questions
Hermes-3-Llama-3.1-8B,en,3.05,1.5803480629279107,0.6666666666666666,0.0,60
Qwen2.5-1.5B-Instruct,en,2.210526315789474,1.1733419373477871,0.6440677966101694,0.016666666666666666,60
Qwen2.5-72B-Instruct,en,3.9523809523809526,1.4952684255340554,0.7,0.0,60
Qwen2.5-7B-Instruct,en,3.0,1.4482958867613192,0.7068965517241379,0.03333333333333333,60
llama-3.1-8b,en,1.7105263157894737,1.0980340023697404,0.6333333333333333,0.0,60
