model_id,language,avg_tof,std_tof,base_accuracy,incorrect_proportion,completed_questions
Hermes-3-Llama-3.1-8B,en,3.4857142857142858,1.6625527458258464,0.5932203389830508,0.016666666666666666,60
Qwen2.5-1.5B-Instruct,en,2.1944444444444446,1.0754700379225521,0.6101694915254238,0.016666666666666666,60
Qwen2.5-72B-Instruct,en,3.4444444444444446,1.5713484026367723,0.7627118644067796,0.016666666666666666,60
Qwen2.5-7B-Instruct,en,3.0789473684210527,1.4212962754095555,0.7037037037037037,0.1,60
llama-3.1-8b,en,1.8823529411764706,0.899826972986962,0.5862068965517241,0.03333333333333333,60
