model_id,language,avg_tof,std_tof,base_accuracy,incorrect_proportion,completed_questions
Hermes-3-Llama-3.1-8B,en,2.7804878048780486,1.6749546061843312,0.6949152542372882,0.016666666666666666,60
Qwen2.5-1.5B-Instruct,en,2.212121212121212,1.2970263369110726,0.55,0.0,60
Qwen2.5-72B-Instruct,en,3.760869565217391,1.5489797849846574,0.7666666666666667,0.0,60
Qwen2.5-7B-Instruct,en,2.7560975609756095,1.4943876762966235,0.7068965517241379,0.03333333333333333,60
llama-3.1-8b,en,1.6571428571428573,1.0125740083811057,0.5833333333333334,0.0,60
