model_id,language,avg_tof,std_tof,base_accuracy,incorrect_proportion,completed_questions
Hermes-3-Llama-3.1-8B,en,3.9,1.5132745950421556,0.6666666666666666,0.0,60
Qwen2.5-1.5B-Instruct,en,2.0526315789473686,0.9986139979479093,0.6333333333333333,0.0,60
Qwen2.5-72B-Instruct,en,3.3404255319148937,1.653836233430534,0.7833333333333333,0.0,60
Qwen2.5-7B-Instruct,en,2.871794871794872,1.3992578102197182,0.6842105263157895,0.05,60
llama-3.1-8b,en,1.7428571428571429,1.0781692722350404,0.6140350877192983,0.05,60
